Date,Country,Event,Category,Dog distance (km),Elevation (m+),Dog access,Status,Notes,Primary source,Secondary source,Origin
2026-01-10,Netherlands,Otterlo Trailrun,dog friendly trail,11|22|35,,dogs allowed in regular trail,source-confirmed 2026,Dogs may join; keep dog leashed and start at the back.,https://canitrail.nl/events/otterlo-trailrun/,,uploaded 2026 CSV
2026-01-11,France,Canicross de Cergy – L'île aux trésors,canicross,not published,,dedicated FFSLC canicross,held,Official FFSLC event; adult canicross long/short disciplines.,https://courses.ffslc.fr/event-fiche/946,,FFSLC Canicross import 2026-09-12
2026-01-11 to 2026-01-12,Spain,Copa de España Mushing Tierra – Alcalá de Guadaíra,canicross|bike jöring|scooter,,,RFEDI dryland mushing cup,held,Official RFEDI 2025/26 calendar and event notice.,https://rfedi.es/mushing/,,European federation sweep 2026-09-12
2026-01-17,Belgium,Coalminers’ Trail & Walk,dog friendly trail,10|13|19|28,,dogs allowed in regular trail,source-confirmed 2026,Dogs explicitly allowed on both walk and trail; leashed.,https://canitrail.nl/events/coalminers-trail-walk/,,uploaded 2026 CSV
2026-01-17,Austria,MOUNTAINMAN Wintertrail Mittersill-KitzSki,dogs-trail,10|18|31,700|1100|2100,Dogs-Trail / optional with dog,cancelled,2026 edition cancelled because the route permit was withdrawn.,https://www.lg-mettenheim.de/veranstaltungen/mountainman-wintersill_20260117,,web verification 2026-09-11
2026-01-24 to 2026-01-25,Spain,Campeonato de España Mushing Nieve Sprint – Baqueira Beret,canicross|ski jöring|sledge,,,RFEDI snow mushing championship,held,Official RFEDI 2025/26 mushing calendar.,https://rfedi.es/mushing/,,European federation sweep 2026-09-12
2026-01-24 to 2026-01-25,France,CANI TROPHY FONTAINEBLEAU 2026 – Canicross,canicross,5|5.5,,dedicated FFSLC canicross,held,Official FFSLC event; long adult Canicross 5 km Saturday and 5.5 km Sunday.,https://courses.ffslc.fr/event-fiche/971,,FFSLC Canicross import 2026-09-12
2026-01-24,Germany,Yeti Dog Run,dogs-trail,16|26,,dog-only trail day,source-confirmed 2026,Saturday is the DOG TRAIL; Sunday is without dogs.,https://canitrail.nl/events/yeti-dog-run-18km-en-26km/,,uploaded 2026 CSV
2026-02-07 to 2026-02-08,Spain,Copa de España Mushing Tierra Sprint – Villamanta,canicross|bike jöring|scooter,,,RFEDI dryland mushing cup,held,"Official RFEDI event notice for Villamanta, Madrid.",https://rfedi.es/mushing/,,European federation sweep 2026-09-12
2026-02-07,Netherlands,Natte Neuzen Trail Montferland,canitrail,10|12|13|15|20|22|23|25,,dedicated canitrail event,source-confirmed 2026,"6 km snuffeltrail exists too, but excluded here because under 10 km.",https://canitrail.nl/de-natte-neuzen-trails-2025-2026/nnt-montferland-2026/,,uploaded 2026 CSV
