Proposal ID,Date,Country,Event,Primary source,Final URL,Proposed action,Confidence,Evidence,Review status,Created,Last checked
EV-8A6F6D89F7,2026-01-11,France,Canicross de Cergy – L'île aux trésors,https://courses.ffslc.fr/event-fiche/946,https://courses.ffslc.fr/event-fiche/946,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-34332DB5BE,2026-01-17,Austria,MOUNTAINMAN Wintertrail Mittersill-KitzSki,https://www.lg-mettenheim.de/veranstaltungen/mountainman-wintersill_20260117,https://www.lg-mettenheim.de/veranstaltungen/mountainman-wintersill_20260117,verify-dog-eligibility,medium,Dog discipline/access marker was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-9C2366FCAC,2026-01-24 to 2026-01-25,France,CANI TROPHY FONTAINEBLEAU 2026 – Canicross,https://courses.ffslc.fr/event-fiche/971,https://courses.ffslc.fr/event-fiche/971,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-CE7FEEB460,2026-02-08,France,Trail des Fontaines,https://chrono-start.com/events/trail-des-fontaines-624-922-102/,https://chrono-start.com/events/trail-des-fontaines/,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-2242C098A3,2026-03-07 to 2026-03-08,France,Championnats de France Terre 2026 – Canicross,https://courses.ffslc.fr/event-fiche/906,https://courses.ffslc.fr/event-fiche/906,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-4C7C2F1593,2026-03-21 to 2026-03-22,Germany,VulCanicross – Bubeck Tour,https://vdsv.de/Veranstaltung/vulcanicross/,https://vdsv.de/2022/03/01/vulcanicross-des-scvh-vom-02-03-04-2022/,verify-event-identity,medium,Event-name match against fetched source text is weak.,pending,2026-09-21,2026-09-23
EV-620C567F2A,2026-04-04 to 2026-04-05,France,6e Canicross du Domaine de Givray,https://courses.ffslc.fr/event-fiche/970,https://courses.ffslc.fr/event-fiche/970,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-0D38CEBB71,2026-04-11 to 2026-04-12,Slovakia,Bosorkin Canicross 2026 – spring round,https://mushing.sk/pretek/bosorkin-canicross-2026-1-jarne-kolo/,https://mushing.sk/pretek/bosorkin-canicross-2026-1-jarne-kolo/,review-source-change,medium,Source fingerprint changed since the previous validation.,pending,2026-09-21,2026-09-23
EV-60FEC38446,2026-04-25 to 2026-04-26,France,Trophée d'Agy 2026 – Canitrail,https://courses.ffslc.fr/event-fiche/1051,https://courses.ffslc.fr/event-fiche/1051,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
EV-F425D65410,2026-05-02 to 2026-05-03,France,3e Castel'Canicross de Blangy le Château – Canicross,https://courses.ffslc.fr/event-fiche/992,https://courses.ffslc.fr/event-fiche/992,verify-date,medium,Stored event year/date was not found in fetched source text.,pending,2026-09-21,2026-09-23
