Date,Country,Event,Dog distance (km),Elevation (m+),Dog access,Status,Notes,Primary source,Secondary source,Origin
2026-01-10,Netherlands,Otterlo Trailrun,11|22|35,,dogs allowed in regular trail,source-confirmed 2026,Dogs may join; keep dog leashed and start at the back.,https://canitrail.nl/events/otterlo-trailrun/,,uploaded 2026 CSV
2026-01-17,Belgium,Coalminers’ Trail & Walk,10|13|19|28,,dogs allowed in regular trail,source-confirmed 2026,Dogs explicitly allowed on both walk and trail; leashed.,https://canitrail.nl/events/coalminers-trail-walk/,,uploaded 2026 CSV
2026-01-17,Austria,MOUNTAINMAN Wintertrail Mittersill-KitzSki,10|18|31,700|1100|2100,Dogs-Trail / optional with dog,cancelled,2026 edition cancelled because the route permit was withdrawn.,https://www.lg-mettenheim.de/veranstaltungen/mountainman-wintersill_20260117,,web verification 2026-09-11
2026-01-24,Germany,Yeti Dog Run,16|26,,dog-only trail day,source-confirmed 2026,Saturday is the DOG TRAIL; Sunday is without dogs.,https://canitrail.nl/events/yeti-dog-run-18km-en-26km/,,uploaded 2026 CSV
2026-02-07,Netherlands,Natte Neuzen Trail Montferland,10|12|13|15|20|22|23|25,,dedicated canitrail event,source-confirmed 2026,"6 km snuffeltrail exists too, but excluded here because under 10 km.",https://canitrail.nl/de-natte-neuzen-trails-2025-2026/nnt-montferland-2026/,,uploaded 2026 CSV
2026-02-08,France,Trail des Fontaines,12,,dedicated canitrail distance,source-confirmed 2026,Chrono-Start lists a CaniTrail 12 km start.,https://chrono-start.com/events/trail-des-fontaines-624-922-102/,,uploaded 2026 CSV
2026-02-21,Netherlands,Bosbokken Canitrail,15,,dedicated canitrail distance,source-confirmed 2026,Official Bosbokken pages say Saturday has a separate canitrail; current program shows 15 km.,https://www.bosbokken.nl/info/,https://www.bosbokken.nl/programma/,uploaded 2026 CSV
2026-03-01,Belgium,Alden Biesen Trail & Walk,10|16|20|27,,dogs allowed in regular trail,source-confirmed 2026,Dogs explicitly allowed on trail and walk; leashed.,https://canitrail.nl/events/alden-biesen-trail-walk/,,uploaded 2026 CSV
2026-03-07,Germany,MOUNTAINMAN Wintertrail Reit im Winkl,14|22,150|651,own Dogs-Trail start + separate ranking,held / sold out,Dog entries sold out; S 14 km and M 22 km available with dog.,https://mountainman.de/trailrunning-events/alps/wintertrail-reit-im-winkl/dogs-trail/,,web verification 2026-09-11
2026-03-14 to 2026-03-15,Netherlands,Vuurtoren Trail Ameland,10|18,,dogs allowed in regular trail,source-confirmed 2026,Canitrailers can join 6|10|18 km; only 10 and 18 included here.,https://canitrail.nl/events/vuurtoren-trail-ameland/,,uploaded 2026 CSV
2026-03-14,Germany,Canitrail-Lauf durchs Nettetal 4.0,10|20,,dedicated canitrail event,source-confirmed 2026,"Also offers 5 km and caniwalk, excluded here where under 10 km.",https://canitrail.nl/events/canitrail-nettetal/,,uploaded 2026 CSV
2026-03-14,Netherlands,Dark Sky Trail Lauwersmeer,10,,separate canitrailer start in regular event,source-confirmed 2026,Canitrailers start at 19:00; trailrunners at 19:15.,https://canitrail.nl/events/dark-sky-trail-lauwersmeer/,,uploaded 2026 CSV
2026-04-10 to 2026-04-12,"Wales, UK",RAID Cani-Trail,87,,multi-day dog trail event,source-confirmed 2026,Day 1 32 km + Day 2 42.5 km + Day 3 12.5 km = 87 km total. Mini RAID is 34.5 km total.,https://www.canitrailuk.co.uk/about-1,,uploaded 2026 CSV
2026-04-19,France,L’Epouvan’trail,10,,dedicated canitrail distance,source-confirmed 2026,Pyrénées Chrono lists a 10 km canitrail.,https://pyreneeschrono.fr/evenement/epouvantrail/,https://www.finishers.com/en/event/l-epouvan-trail,uploaded 2026 CSV
2026-04-25 to 2026-04-26,Switzerland,Canitrail des Moines,not published,,dedicated canitrail event,source-confirmed 2026,Date and dog format confirmed by Swiss Canicross; current 2026 page does not show exact km.,https://swiss-canicross.ch/courses/categorie/canitrails/,https://swiss-canicross.ch/course/canitrails-des-moines/,uploaded 2026 CSV
2026-05-08 to 2026-05-10,"Wales, UK",Mynydd Y Gaer Mountain Challenge,10|17|35_total,,multi-day dog trail event,source-confirmed 2026,10 km and 17 km stages are in-range; full 3-day challenge totals 35 km if you also do the 8 km day.,https://www.canitrailuk.co.uk/cani-trail-mountain-challenge,,uploaded 2026 CSV
2026-05-10,Belgium,Cani-Trail & Trail des Ardennes,11|17|27,,dedicated canitrail distances,source-confirmed 2026,"Registration page lists separate Canitrail Découverte, Court, and Long.",https://www.ledossard.com/inscription/index.php?id=3530,https://www.ultratiming.live/en/evenement/cani-trail-trail-des-ardennes-2026/epreuve/canitrail-court,uploaded 2026 CSV
2026-05-14,Netherlands,Dauw Canitrail Xperience,10|15|20,,dedicated canitrail event,source-confirmed 2026,Canitrail.NL event with 3 distances.,https://canitrail.nl/events/dauw-canitrail-xperience/,,uploaded 2026 CSV
